strain	date		country	region	lineage	GRI.Lineage.Level.0	GRI.Lineage.Level.1	GRI.Lineage.Level.2	GRI.Lineage.Level.3	GRI.Lineage.Level.4	GRI.Lineage.Level.5	GRI.Lineage.Level.6	GRI.Lineage.Level.7	GRI.Lineage.Level.8	author	accession	old_date	decimal_date	latitude	longitude
MG649978.1	2017-03-16		Brazil		SAL	C	C.2	C.2.1	C.2.1	C.2.1	C.2.1	C.2.1	C.2.1	C.2.1	Thompson,F., Tschoeke,D., Souza,T., Rangel,Y., Delatorre,E., Leomil,L., Morel,C., Lipkin,I. and Mishra,N.	NA	2017-03-16	2017.20273972603	-10.3333333	-53.2
MG649982.1	2017-03-24		Brazil		SAL	C	C.2	C.2.1	C.2.1	C.2.1	C.2.1	C.2.1	C.2.1	C.2.1	Thompson,F., Tschoeke,D., Souza,T., Rangel,Y., Delatorre,E., Leomil,L., Morel,C., Lipkin,I. and Mishra,N.	NA	2017-03-24	2017.22465753425	-10.3333333	-53.2
MG649975.1	2016-07-27		Brazil		SAL	C	C.2	C.2	C.2	C.2	C.2	C.2	C.2	C.2	Thompson,F., Tschoeke,D., Souza,T., Rangel,Y., Delatorre,E., Leomil,L., Morel,C., Lipkin,I. and Mishra,N.	NA	2016-07-27	2016.56830601093	-10.3333333	-53.2
KY124328.1	2016-03-16		Brazil	SAm	SAL	C	C.2	C.2	C.2	C.2	C.2	C.2	C.2	C.2	Cunha,M.S., Cruz,N.V.G., Schnellrath,L.C., Medaglia,M.L.G., Casotto,M.E., Albano,R.M., Costa,L.J. and Damaso,C.R.	NA	2016-03-16	2016.20491803279	-10.3333333	-53.2
MG649977.1	2016-07-28		Brazil		SAL	C	C.2	C.2	C.2	C.2	C.2	C.2	C.2	C.2	Thompson,F., Tschoeke,D., Souza,T., Rangel,Y., Delatorre,E., Leomil,L., Morel,C., Lipkin,I. and Mishra,N.	NA	2016-07-28	2016.57103825137	-10.3333333	-53.2
MG649974.1	2016-04-08		Brazil		SAL	C	C.2	C.2.0	C.2.0	C.2.0	C.2.0	C.2.0	C.2.0	C.2.0	Thompson,F., Tschoeke,D., Souza,T., Rangel,Y., Delatorre,E., Leomil,L., Morel,C., Lipkin,I. and Mishra,N.	NA	2016-04-08	2016.26775956284	-10.3333333	-53.2
MG649981.1	2016-07-28		Brazil		SAL	C	C.2	C.2.0	C.2.0	C.2.0	C.2.0	C.2.0	C.2.0	C.2.0	Thompson,F., Tschoeke,D., Souza,T., Rangel,Y., Delatorre,E., Leomil,L., Morel,C., Lipkin,I. and Mishra,N.	NA	2016-07-28	2016.57103825137	-10.3333333	-53.2
MG649970.1	2016-03-29		Brazil		SAL	C	C.2	C.2.0	C.2.0	C.2.0	C.2.0	C.2.0	C.2.0	C.2.0	Thompson,F., Tschoeke,D., Souza,T., Rangel,Y., Delatorre,E., Leomil,L., Morel,C., Lipkin,I. and Mishra,N.	NA	2016-03-29	2016.24043715847	-10.3333333	-53.2
MG649976.1	2016-03-29		Brazil		SAL	C	C.2	C.2.0	C.2.0.0	C.2.0.0	C.2.0.0	C.2.0.0	C.2.0.0	C.2.0.0	Thompson,F., Tschoeke,D., Souza,T., Rangel,Y., Delatorre,E., Leomil,L., Morel,C., Lipkin,I. and Mishra,N.	NA	2016-03-29	2016.24043715847	-10.3333333	-53.2
MG649972.1	2016-05-05		Brazil		SAL	C	C.2	C.2.0	C.2.0.0	C.2.0.0	C.2.0.0	C.2.0.0	C.2.0.0	C.2.0.0	Thompson,F., Tschoeke,D., Souza,T., Rangel,Y., Delatorre,E., Leomil,L., Morel,C., Lipkin,I. and Mishra,N.	NA	2016-05-05	2016.34153005464	-10.3333333	-53.2
MG649983.1	2016-03-28		Brazil		SAL	C	C.2	C.2.0	C.2.0.0	C.2.0.0.0	C.2.0.0.0	C.2.0.0.0	C.2.0.0.0	C.2.0.0.0	Thompson,F., Tschoeke,D., Souza,T., Rangel,Y., Delatorre,E., Leomil,L., Morel,C., Lipkin,I. and Mishra,N.	NA	2016-03-28	2016.23770491803	-10.3333333	-53.2
MG649971.1	2016-08-22		Brazil		SAL	C	C.2	C.2.0	C.2.0.0	C.2.0.0.0	C.2.0.0.0	C.2.0.0.0	C.2.0.0.0	C.2.0.0.0	Thompson,F., Tschoeke,D., Souza,T., Rangel,Y., Delatorre,E., Leomil,L., Morel,C., Lipkin,I. and Mishra,N.	NA	2016-08-22	2016.6393442623	-10.3333333	-53.2
MG649979.1	2017-03-01		Brazil		SAL	C	C	C	C	C	C	C	C	C	Thompson,F., Tschoeke,D., Souza,T., Rangel,Y., Delatorre,E., Leomil,L., Morel,C., Lipkin,I. and Mishra,N.	NA	2017-03-01 (2017-03-01 - 2017-03-28)	2017.16164383562	-10.3333333	-53.2
MG649980.1	2016-04-27		Brazil		SAL	C	C	C	C	C	C	C	C	C	Thompson,F., Tschoeke,D., Souza,T., Rangel,Y., Delatorre,E., Leomil,L., Morel,C., Lipkin,I. and Mishra,N.	NA	2016-04-27	2016.31967213115	-10.3333333	-53.2
OM128432.1	2018-03-26		Brazil	SAm	SAL	C	C	C	C	C	C	C	C	C	de Souza,T.M.A., de Lima,R.C., Solorzano,V.E.F., Damasco,P.V., de Souza,L.J., Sanchez-Arcila,J.C., Guimaraes,G.M.C., Paiva,I.A., da Rocha Queiroz Lima,M., de Bruycker-Nogueira,F., Tome,L.C.T., Coelho,M.R.I., da Silva,S.P., de Oliveira-Pinto,L.M., de Azeredo,E.L. and Dos Santos,F.B.	NA	2018-03-26	2018.2301369863	-10.3333333	-53.2
OM128434.1	2018-06-07		Brazil	SAm	SAL	C	C	C	C	C	C	C	C	C	de Souza,T.M.A., de Lima,R.C., Solorzano,V.E.F., Damasco,P.V., de Souza,L.J., Sanchez-Arcila,J.C., Guimaraes,G.M.C., Paiva,I.A., da Rocha Queiroz Lima,M., de Bruycker-Nogueira,F., Tome,L.C.T., Coelho,M.R.I., da Silva,S.P., de Oliveira-Pinto,L.M., de Azeredo,E.L. and Dos Santos,F.B.	NA	2018-06-07	2018.4301369863	-10.3333333	-53.2
OM128433.1	2018-06-06		Brazil	SAm	SAL	C	C	C	C	C	C	C	C	C	de Souza,T.M.A., de Lima,R.C., Solorzano,V.E.F., Damasco,P.V., de Souza,L.J., Sanchez-Arcila,J.C., Guimaraes,G.M.C., Paiva,I.A., da Rocha Queiroz Lima,M., de Bruycker-Nogueira,F., Tome,L.C.T., Coelho,M.R.I., da Silva,S.P., de Oliveira-Pinto,L.M., de Azeredo,E.L. and Dos Santos,F.B.	NA	2018-06-06	2018.42739726027	-10.3333333	-53.2
OM128436.1	2018-06-05		Brazil	SAm	SAL	C	C	C	C	C	C	C	C	C	de Souza,T.M.A., de Lima,R.C., Solorzano,V.E.F., Damasco,P.V., de Souza,L.J., Sanchez-Arcila,J.C., Guimaraes,G.M.C., Paiva,I.A., da Rocha Queiroz Lima,M., de Bruycker-Nogueira,F., Tome,L.C.T., Coelho,M.R.I., da Silva,S.P., de Oliveira-Pinto,L.M., de Azeredo,E.L. and Dos Santos,F.B.	NA	2018-06-05	2018.42465753425	-10.3333333	-53.2
OM128437.1	2018-06-07		Brazil	SAm	SAL	C	C	C	C	C	C	C	C	C	de Souza,T.M.A., de Lima,R.C., Solorzano,V.E.F., Damasco,P.V., de Souza,L.J., Sanchez-Arcila,J.C., Guimaraes,G.M.C., Paiva,I.A., da Rocha Queiroz Lima,M., de Bruycker-Nogueira,F., Tome,L.C.T., Coelho,M.R.I., da Silva,S.P., de Oliveira-Pinto,L.M., de Azeredo,E.L. and Dos Santos,F.B.	NA	2018-06-07	2018.4301369863	-10.3333333	-53.2
OM128431.1	2018-06-06		Brazil	SAm	SAL	C	C	C	C	C	C	C	C	C	de Souza,T.M.A., de Lima,R.C., Solorzano,V.E.F., Damasco,P.V., de Souza,L.J., Sanchez-Arcila,J.C., Guimaraes,G.M.C., Paiva,I.A., da Rocha Queiroz Lima,M., de Bruycker-Nogueira,F., Tome,L.C.T., Coelho,M.R.I., da Silva,S.P., de Oliveira-Pinto,L.M., de Azeredo,E.L. and Dos Santos,F.B.	NA	2018-06-06	2018.42739726027	-10.3333333	-53.2
OM128440.1	2018-03-20		Brazil	SAm	SAL	C	C	C	C	C	C	C	C	C	de Souza,T.M.A., de Lima,R.C., Solorzano,V.E.F., Damasco,P.V., de Souza,L.J., Sanchez-Arcila,J.C., Guimaraes,G.M.C., Paiva,I.A., da Rocha Queiroz Lima,M., de Bruycker-Nogueira,F., Tome,L.C.T., Coelho,M.R.I., da Silva,S.P., de Oliveira-Pinto,L.M., de Azeredo,E.L. and Dos Santos,F.B.	NA	2018-03-20	2018.21369863014	-10.3333333	-53.2
OM128435.1	2018-03-19		Brazil	SAm	SAL	C	C	C	C	C	C	C	C	C	de Souza,T.M.A., de Lima,R.C., Solorzano,V.E.F., Damasco,P.V., de Souza,L.J., Sanchez-Arcila,J.C., Guimaraes,G.M.C., Paiva,I.A., da Rocha Queiroz Lima,M., de Bruycker-Nogueira,F., Tome,L.C.T., Coelho,M.R.I., da Silva,S.P., de Oliveira-Pinto,L.M., de Azeredo,E.L. and Dos Santos,F.B.	NA	2018-03-19	2018.21095890411	-10.3333333	-53.2
OL898710.1	2021-02-02		Brazil	SAm	SAL	C	C.0	C.0	C.0	C.0	C.0	C.0	C.0	C.0	Maeda,A.Y., Nogueira,J.S., Campos,K.R., Camargo,C.H., da Silva Vasami,F.G., Arvigo,A.P.B., Santos,M.B.N., Abbud,A. and Sacchi,C.T.	NA	2021-02-02	2021.08767123288	-10.3333333	-53.2
OL898663.1	2020-09-05		Brazil	SAm	SAL	C	C.0	C.0	C.0	C.0	C.0	C.0	C.0	C.0	Maeda,A.Y., Nogueira,J.S., Campos,K.R., Camargo,C.H., da Silva Vasami,F.G., Arvigo,A.P.B., Santos,M.B.N., Abbud,A. and Sacchi,C.T.	NA	2020-09-05	2020.67759562842	-10.3333333	-53.2
OL898703.1	2021-04-06		Brazil	SAm	SAL	C	C.0	C.0.3	C.0.3.1	C.0.3.1	C.0.3.1	C.0.3.1	C.0.3.1	C.0.3.1	Maeda,A.Y., Nogueira,J.S., Campos,K.R., Camargo,C.H., da Silva Vasami,F.G., Arvigo,A.P.B., Santos,M.B.N., Abbud,A. and Sacchi,C.T.	NA	2021-04-06	2021.2602739726	-10.3333333	-53.2
OL898701.1	2021-05-05		Brazil	SAm	SAL	C	C.0	C.0.3	C.0.3.1	C.0.3.1	C.0.3.1	C.0.3.1	C.0.3.1	C.0.3.1	Maeda,A.Y., Nogueira,J.S., Campos,K.R., Camargo,C.H., da Silva Vasami,F.G., Arvigo,A.P.B., Santos,M.B.N., Abbud,A. and Sacchi,C.T.	NA	2021-05-05	2021.3397260274	-10.3333333	-53.2
OL898713.1	2021-04-29		Brazil	SAm	SAL	C	C.0	C.0.3	C.0.3.0	C.0.3.0	C.0.3.0	C.0.3.0	C.0.3.0	C.0.3.0	Maeda,A.Y., Nogueira,J.S., Campos,K.R., Camargo,C.H., da Silva Vasami,F.G., Arvigo,A.P.B., Santos,M.B.N., Abbud,A. and Sacchi,C.T.	NA	2021-04-29	2021.32328767123	-10.3333333	-53.2
OL898707.1	2021-01-07		Brazil	SAm	SAL	C	C.0	C.0.3	C.0.3.0	C.0.3.0	C.0.3.0	C.0.3.0	C.0.3.0	C.0.3.0	Maeda,A.Y., Nogueira,J.S., Campos,K.R., Camargo,C.H., da Silva Vasami,F.G., Arvigo,A.P.B., Santos,M.B.N., Abbud,A. and Sacchi,C.T.	NA	2021-01-07	2021.01643835616	-10.3333333	-53.2
OL898678.1	2021-03-05		Brazil	SAm	SAL	C	C.0	C.0.3	C.0.3.0	C.0.3.0.1	C.0.3.0.1	C.0.3.0.1	C.0.3.0.1	C.0.3.0.1	Maeda,A.Y., Nogueira,J.S., Campos,K.R., Camargo,C.H., da Silva Vasami,F.G., Arvigo,A.P.B., Santos,M.B.N., Abbud,A. and Sacchi,C.T.	NA	2021-03-05	2021.17260273973	-10.3333333	-53.2
OL898692.1	2021-03-09		Brazil	SAm	SAL	C	C.0	C.0.3	C.0.3.0	C.0.3.0.1	C.0.3.0.1	C.0.3.0.1	C.0.3.0.1	C.0.3.0.1	Maeda,A.Y., Nogueira,J.S., Campos,K.R., Camargo,C.H., da Silva Vasami,F.G., Arvigo,A.P.B., Santos,M.B.N., Abbud,A. and Sacchi,C.T.	NA	2021-03-09	2021.18356164384	-10.3333333	-53.2
OL898700.1	2021-01-28		Brazil	SAm	SAL	C	C.0	C.0.3	C.0.3.0	C.0.3.0	C.0.3.0	C.0.3.0	C.0.3.0	C.0.3.0	Maeda,A.Y., Nogueira,J.S., Campos,K.R., Camargo,C.H., da Silva Vasami,F.G., Arvigo,A.P.B., Santos,M.B.N., Abbud,A. and Sacchi,C.T.	NA	2021-01-28	2021.07397260274	-10.3333333	-53.2
OL898693.1	2021-02-13		Brazil	SAm	SAL	C	C.0	C.0.3	C.0.3.0	C.0.3.0.0	C.0.3.0.0	C.0.3.0.0	C.0.3.0.0	C.0.3.0.0	Maeda,A.Y., Nogueira,J.S., Campos,K.R., Camargo,C.H., da Silva Vasami,F.G., Arvigo,A.P.B., Santos,M.B.N., Abbud,A. and Sacchi,C.T.	NA	2021-02-13	2021.11780821918	-10.3333333	-53.2
OL898686.1	2021-03-25		Brazil	SAm	SAL	C	C.0	C.0.3	C.0.3.0	C.0.3.0.0	C.0.3.0.0.0	C.0.3.0.0.0	C.0.3.0.0.0	C.0.3.0.0.0	Maeda,A.Y., Nogueira,J.S., Campos,K.R., Camargo,C.H., da Silva Vasami,F.G., Arvigo,A.P.B., Santos,M.B.N., Abbud,A. and Sacchi,C.T.	NA	2021-03-25	2021.22739726027	-10.3333333	-53.2
OL898679.1	2021-04-13		Brazil	SAm	SAL	C	C.0	C.0.3	C.0.3.0	C.0.3.0.0	C.0.3.0.0.0	C.0.3.0.0.0	C.0.3.0.0.0	C.0.3.0.0.0	Maeda,A.Y., Nogueira,J.S., Campos,K.R., Camargo,C.H., da Silva Vasami,F.G., Arvigo,A.P.B., Santos,M.B.N., Abbud,A. and Sacchi,C.T.	NA	2021-04-13	2021.27945205479	-10.3333333	-53.2
OL898671.1	2021-02-16		Brazil	SAm	SAL	C	C.0	C.0	C.0	C.0	C.0	C.0	C.0	C.0	Maeda,A.Y., Nogueira,J.S., Campos,K.R., Camargo,C.H., da Silva Vasami,F.G., Arvigo,A.P.B., Santos,M.B.N., Abbud,A. and Sacchi,C.T.	NA	2021-02-16	2021.12602739726	-10.3333333	-53.2
OL898675.1	2020-12-26		Brazil	SAm	SAL	C	C.0	C.0	C.0	C.0	C.0	C.0	C.0	C.0	Maeda,A.Y., Nogueira,J.S., Campos,K.R., Camargo,C.H., da Silva Vasami,F.G., Arvigo,A.P.B., Santos,M.B.N., Abbud,A. and Sacchi,C.T.	NA	2020-12-26	2020.98360655738	-10.3333333	-53.2
OL898674.1	2021-01-23		Brazil	SAm	SAL	C	C.0	C.0	C.0	C.0	C.0	C.0	C.0	C.0	Maeda,A.Y., Nogueira,J.S., Campos,K.R., Camargo,C.H., da Silva Vasami,F.G., Arvigo,A.P.B., Santos,M.B.N., Abbud,A. and Sacchi,C.T.	NA	2021-01-23	2021.0602739726	-10.3333333	-53.2
OL898680.1	2021-03-22		Brazil	SAm	SAL	C	C.0	C.0	C.0	C.0	C.0	C.0	C.0	C.0	Maeda,A.Y., Nogueira,J.S., Campos,K.R., Camargo,C.H., da Silva Vasami,F.G., Arvigo,A.P.B., Santos,M.B.N., Abbud,A. and Sacchi,C.T.	NA	2021-03-22	2021.21917808219	-10.3333333	-53.2
OL898704.1	2021-01-28		Brazil	SAm	SAL	C	C.0	C.0.5	C.0.5	C.0.5	C.0.5	C.0.5	C.0.5	C.0.5	Maeda,A.Y., Nogueira,J.S., Campos,K.R., Camargo,C.H., da Silva Vasami,F.G., Arvigo,A.P.B., Santos,M.B.N., Abbud,A. and Sacchi,C.T.	NA	2021-01-28	2021.07397260274	-10.3333333	-53.2
OL898712.1	2021-02-18		Brazil	SAm	SAL	C	C.0	C.0.5	C.0.5.0	C.0.5.0	C.0.5.0	C.0.5.0	C.0.5.0	C.0.5.0	Maeda,A.Y., Nogueira,J.S., Campos,K.R., Camargo,C.H., da Silva Vasami,F.G., Arvigo,A.P.B., Santos,M.B.N., Abbud,A. and Sacchi,C.T.	NA	2021-02-18	2021.13150684932	-10.3333333	-53.2
OL898702.1	2021-04-27		Brazil	SAm	SAL	C	C.0	C.0.5	C.0.5.0	C.0.5.0	C.0.5.0	C.0.5.0	C.0.5.0	C.0.5.0	Maeda,A.Y., Nogueira,J.S., Campos,K.R., Camargo,C.H., da Silva Vasami,F.G., Arvigo,A.P.B., Santos,M.B.N., Abbud,A. and Sacchi,C.T.	NA	2021-04-27	2021.31780821918	-10.3333333	-53.2
OL898695.1	2021-04-04		Brazil	SAm	SAL	C	C.0	C.0	C.0	C.0	C.0	C.0	C.0	C.0	Maeda,A.Y., Nogueira,J.S., Campos,K.R., Camargo,C.H., da Silva Vasami,F.G., Arvigo,A.P.B., Santos,M.B.N., Abbud,A. and Sacchi,C.T.	NA	2021-04-04	2021.25479452055	-10.3333333	-53.2
OL898676.1	2021-02-02		Brazil	SAm	SAL	C	C.0	C.0.7	C.0.7	C.0.7	C.0.7	C.0.7	C.0.7	C.0.7	Maeda,A.Y., Nogueira,J.S., Campos,K.R., Camargo,C.H., da Silva Vasami,F.G., Arvigo,A.P.B., Santos,M.B.N., Abbud,A. and Sacchi,C.T.	NA	2021-02-02	2021.08767123288	-10.3333333	-53.2
OL898697.1	2021-02-09		Brazil	SAm	SAL	C	C.0	C.0.7	C.0.7	C.0.7	C.0.7	C.0.7	C.0.7	C.0.7	Maeda,A.Y., Nogueira,J.S., Campos,K.R., Camargo,C.H., da Silva Vasami,F.G., Arvigo,A.P.B., Santos,M.B.N., Abbud,A. and Sacchi,C.T.	NA	2021-02-09	2021.10684931507	-10.3333333	-53.2
OL898673.1	2021-03-15		Brazil	SAm	SAL	C	C.0	C.0	C.0	C.0	C.0	C.0	C.0	C.0	Maeda,A.Y., Nogueira,J.S., Campos,K.R., Camargo,C.H., da Silva Vasami,F.G., Arvigo,A.P.B., Santos,M.B.N., Abbud,A. and Sacchi,C.T.	NA	2021-03-15	2021.2	-10.3333333	-53.2
OL898688.1	2021-03-23		Brazil	SAm	SAL	C	C.0	C.0.6	C.0.6	C.0.6	C.0.6	C.0.6	C.0.6	C.0.6	Maeda,A.Y., Nogueira,J.S., Campos,K.R., Camargo,C.H., da Silva Vasami,F.G., Arvigo,A.P.B., Santos,M.B.N., Abbud,A. and Sacchi,C.T.	NA	2021-03-23	2021.22191780822	-10.3333333	-53.2
OL898685.1	2021-02-22		Brazil	SAm	SAL	C	C.0	C.0.6	C.0.6	C.0.6	C.0.6	C.0.6	C.0.6	C.0.6	Maeda,A.Y., Nogueira,J.S., Campos,K.R., Camargo,C.H., da Silva Vasami,F.G., Arvigo,A.P.B., Santos,M.B.N., Abbud,A. and Sacchi,C.T.	NA	2021-02-22	2021.14246575342	-10.3333333	-53.2
OL898705.1	2021-02-13		Brazil	SAm	SAL	C	C.0	C.0	C.0	C.0	C.0	C.0	C.0	C.0	Maeda,A.Y., Nogueira,J.S., Campos,K.R., Camargo,C.H., da Silva Vasami,F.G., Arvigo,A.P.B., Santos,M.B.N., Abbud,A. and Sacchi,C.T.	NA	2021-02-13	2021.11780821918	-10.3333333	-53.2
OL898682.1	2021-01-07		Brazil	SAm	SAL	C	C.0	C.0.0	C.0.0.3	C.0.0.3	C.0.0.3	C.0.0.3	C.0.0.3	C.0.0.3	Maeda,A.Y., Nogueira,J.S., Campos,K.R., Camargo,C.H., da Silva Vasami,F.G., Arvigo,A.P.B., Santos,M.B.N., Abbud,A. and Sacchi,C.T.	NA	2021-01-07	2021.01643835616	-10.3333333	-53.2
OL898664.1	2021-01-31		Brazil	SAm	SAL	C	C.0	C.0.0	C.0.0.3	C.0.0.3.0	C.0.0.3.0	C.0.0.3.0	C.0.0.3.0	C.0.0.3.0	Maeda,A.Y., Nogueira,J.S., Campos,K.R., Camargo,C.H., da Silva Vasami,F.G., Arvigo,A.P.B., Santos,M.B.N., Abbud,A. and Sacchi,C.T.	NA	2021-01-31	2021.08219178082	-10.3333333	-53.2
OL898687.1	2021-04-16		Brazil	SAm	SAL	C	C.0	C.0.0	C.0.0.3	C.0.0.3.0	C.0.0.3.0	C.0.0.3.0	C.0.0.3.0	C.0.0.3.0	Maeda,A.Y., Nogueira,J.S., Campos,K.R., Camargo,C.H., da Silva Vasami,F.G., Arvigo,A.P.B., Santos,M.B.N., Abbud,A. and Sacchi,C.T.	NA	2021-04-16	2021.28767123288	-10.3333333	-53.2
OL898677.1	2021-02-13		Brazil	SAm	SAL	C	C.0	C.0.0	C.0.0.1	C.0.0.1.1	C.0.0.1.1	C.0.0.1.1	C.0.0.1.1	C.0.0.1.1	Maeda,A.Y., Nogueira,J.S., Campos,K.R., Camargo,C.H., da Silva Vasami,F.G., Arvigo,A.P.B., Santos,M.B.N., Abbud,A. and Sacchi,C.T.	NA	2021-02-13	2021.11780821918	-10.3333333	-53.2
OL898689.1	2021-01-15		Brazil	SAm	SAL	C	C.0	C.0.0	C.0.0.1	C.0.0.1.1	C.0.0.1.1	C.0.0.1.1	C.0.0.1.1	C.0.0.1.1	Maeda,A.Y., Nogueira,J.S., Campos,K.R., Camargo,C.H., da Silva Vasami,F.G., Arvigo,A.P.B., Santos,M.B.N., Abbud,A. and Sacchi,C.T.	NA	2021-01-15	2021.03835616438	-10.3333333	-53.2
OL898706.1	2021-02-09		Brazil	SAm	SAL	C	C.0	C.0.0	C.0.0.1	C.0.0.1	C.0.0.1	C.0.0.1	C.0.0.1	C.0.0.1	Maeda,A.Y., Nogueira,J.S., Campos,K.R., Camargo,C.H., da Silva Vasami,F.G., Arvigo,A.P.B., Santos,M.B.N., Abbud,A. and Sacchi,C.T.	NA	2021-02-09	2021.10684931507	-10.3333333	-53.2
OL898694.1	2021-05-11		Brazil	SAm	SAL	C	C.0	C.0.0	C.0.0.1	C.0.0.1.0	C.0.0.1.0	C.0.0.1.0	C.0.0.1.0	C.0.0.1.0	Maeda,A.Y., Nogueira,J.S., Campos,K.R., Camargo,C.H., da Silva Vasami,F.G., Arvigo,A.P.B., Santos,M.B.N., Abbud,A. and Sacchi,C.T.	NA	2021-05-11	2021.35616438356	-10.3333333	-53.2
OL898669.1	2020-12-17		Brazil	SAm	SAL	C	C.0	C.0.0	C.0.0.1	C.0.0.1.0	C.0.0.1.0	C.0.0.1.0	C.0.0.1.0	C.0.0.1.0	Maeda,A.Y., Nogueira,J.S., Campos,K.R., Camargo,C.H., da Silva Vasami,F.G., Arvigo,A.P.B., Santos,M.B.N., Abbud,A. and Sacchi,C.T.	NA	2020-12-17	2020.95901639344	-10.3333333	-53.2
OL898696.1	2021-01-28		Brazil	SAm	SAL	C	C.0	C.0.0	C.0.0	C.0.0	C.0.0	C.0.0	C.0.0	C.0.0	Maeda,A.Y., Nogueira,J.S., Campos,K.R., Camargo,C.H., da Silva Vasami,F.G., Arvigo,A.P.B., Santos,M.B.N., Abbud,A. and Sacchi,C.T.	NA	2021-01-28	2021.07397260274	-10.3333333	-53.2
OL898684.1	2021-02-14		Brazil	SAm	SAL	C	C.0	C.0.0	C.0.0	C.0.0	C.0.0	C.0.0	C.0.0	C.0.0	Maeda,A.Y., Nogueira,J.S., Campos,K.R., Camargo,C.H., da Silva Vasami,F.G., Arvigo,A.P.B., Santos,M.B.N., Abbud,A. and Sacchi,C.T.	NA	2021-02-14	2021.12054794521	-10.3333333	-53.2
OL898711.1	2021-02-08		Brazil	SAm	SAL	C	C.0	C.0.0	C.0.0.2	C.0.0.2	C.0.0.2	C.0.0.2	C.0.0.2	C.0.0.2	Maeda,A.Y., Nogueira,J.S., Campos,K.R., Camargo,C.H., da Silva Vasami,F.G., Arvigo,A.P.B., Santos,M.B.N., Abbud,A. and Sacchi,C.T.	NA	2021-02-08	2021.10410958904	-10.3333333	-53.2
OL898714.1	2020-11-20		Brazil	SAm	SAL	C	C.0	C.0.0	C.0.0.2	C.0.0.2	C.0.0.2	C.0.0.2	C.0.0.2	C.0.0.2	Maeda,A.Y., Nogueira,J.S., Campos,K.R., Camargo,C.H., da Silva Vasami,F.G., Arvigo,A.P.B., Santos,M.B.N., Abbud,A. and Sacchi,C.T.	NA	2020-11-20	2020.88524590164	-10.3333333	-53.2
OL898670.1	2021-02-02		Brazil	SAm	SAL	C	C.0	C.0.0	C.0.0	C.0.0	C.0.0	C.0.0	C.0.0	C.0.0	Maeda,A.Y., Nogueira,J.S., Campos,K.R., Camargo,C.H., da Silva Vasami,F.G., Arvigo,A.P.B., Santos,M.B.N., Abbud,A. and Sacchi,C.T.	NA	2021-02-02	2021.08767123288	-10.3333333	-53.2
OL898681.1	2021-02-20		Brazil	SAm	SAL	C	C.0	C.0.0	C.0.0	C.0.0	C.0.0	C.0.0	C.0.0	C.0.0	Maeda,A.Y., Nogueira,J.S., Campos,K.R., Camargo,C.H., da Silva Vasami,F.G., Arvigo,A.P.B., Santos,M.B.N., Abbud,A. and Sacchi,C.T.	NA	2021-02-20	2021.13698630137	-10.3333333	-53.2
OL898665.1	2021-02-22		Brazil	SAm	SAL	C	C.0	C.0.0	C.0.0.0	C.0.0.0	C.0.0.0	C.0.0.0	C.0.0.0	C.0.0.0	Maeda,A.Y., Nogueira,J.S., Campos,K.R., Camargo,C.H., da Silva Vasami,F.G., Arvigo,A.P.B., Santos,M.B.N., Abbud,A. and Sacchi,C.T.	NA	2021-02-22	2021.14246575342	-10.3333333	-53.2
OL898667.1	2021-02-01		Brazil	SAm	SAL	C	C.0	C.0.0	C.0.0.0	C.0.0.0.1	C.0.0.0.1	C.0.0.0.1	C.0.0.0.1	C.0.0.0.1	Maeda,A.Y., Nogueira,J.S., Campos,K.R., Camargo,C.H., da Silva Vasami,F.G., Arvigo,A.P.B., Santos,M.B.N., Abbud,A. and Sacchi,C.T.	NA	2021-02-01	2021.08493150685	-10.3333333	-53.2
OL898709.1	2021-05-12		Brazil	SAm	SAL	C	C.0	C.0.0	C.0.0.0	C.0.0.0.1	C.0.0.0.1	C.0.0.0.1	C.0.0.0.1	C.0.0.0.1	Maeda,A.Y., Nogueira,J.S., Campos,K.R., Camargo,C.H., da Silva Vasami,F.G., Arvigo,A.P.B., Santos,M.B.N., Abbud,A. and Sacchi,C.T.	NA	2021-05-12	2021.35890410959	-10.3333333	-53.2
OL898668.1	2021-01-06		Brazil	SAm	SAL	C	C.0	C.0.0	C.0.0.0	C.0.0.0.0	C.0.0.0.0	C.0.0.0.0	C.0.0.0.0	C.0.0.0.0	Maeda,A.Y., Nogueira,J.S., Campos,K.R., Camargo,C.H., da Silva Vasami,F.G., Arvigo,A.P.B., Santos,M.B.N., Abbud,A. and Sacchi,C.T.	NA	2021-01-06	2021.01369863014	-10.3333333	-53.2
OL898666.1	2021-02-25		Brazil	SAm	SAL	C	C.0	C.0.0	C.0.0.0	C.0.0.0.0	C.0.0.0.0.2	C.0.0.0.0.2	C.0.0.0.0.2	C.0.0.0.0.2	Maeda,A.Y., Nogueira,J.S., Campos,K.R., Camargo,C.H., da Silva Vasami,F.G., Arvigo,A.P.B., Santos,M.B.N., Abbud,A. and Sacchi,C.T.	NA	2021-02-25	2021.15068493151	-10.3333333	-53.2
